Round; Time; Distance; Errors
1; 57,7931; 19,69734; 10
2; 11,10635; 5,600899; 1
3; 12,60617; 6,024227; 4
4; 11,52807; 6,357264; 2
5; 7,830021; 3,463347; 2
6; 9,762259; 4,747692; 0
7; 10,79596; 5,213482; 2
8; 8,173858; 4,25822; 2
1; 23,25696; 15,65691; 10
1; 24,75329; 13,92619; 4
1; 41,2416; 21,5219; 8
2; 12,5603; 5,599099; 0
3; 13,33955; 4,053843; 1
4; 10,63899; 5,327618; 2
5; 36,78506; 12,8576; 9
6; 11,5274; 4,446564; 1
7; 12,0282; 5,980488; 0
8; 9,906061; 4,256547; 1
1; 35,28923; 15,68916; 4
2; 10,462; 4,802051; 0
3; 12,15062; 4,573985; 1
4; 13,48289; 6,483136; 0
5; 8,496144; 4,466568; 0
6; 8,307672; 3,748638; 0
7; 18,44748; 5,965928; 5
1; 32,27058; 13,48757; 1
2; 8,57414; 4,264364; 0
3; 38,32788; 14,3317; 3
4; 10,49669; 5,08093; 1
5; 13,64847; 7,169883; 3
6; 9,762219; 4,583493; 0
7; 9,418412; 3,768813; 2
8; 8,140738; 3,710188; 0
9; 7,929881; 3,13175; 0
10; 7,719037; 3,520046; 0
11; 18,714; 6,185531; 2
1; 31,13062; 14,49753; 0
2; 7,974454; 3,732381; 0
3; 8,161851; 3,692843; 0
4; 10,03058; 4,365659; 1
5; 9,317821; 4,09683; 0
6; 9,551373; 4,224894; 1
1; 24,67138; 14,74584; 0
2; 8,806897; 3,602777; 0
3; 8,696022; 3,331211; 1
4; 8,052327; 3,339172; 1
5; 9,662865; 3,356108; 0
1; 44,3762; 17,11905; 3
2; 19,25949; 7,304058; 1
3; 8,962659; 4,116619; 0
4; 9,784533; 5,324113; 0
5; 11,04001; 5,181893; 1
