Round; Time; Distance; Errors; Config; Name
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;; 
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;; 
1;51,25738;11,10902;4; [1, 6, 8];1
2;42,90482;9,982311;4;;
3;37,43805;10,68275;5;;
4;37,11855;10,1555;4;;
5;35,88356;12,51098;6;;
6;31,17632;9,269485;3;;
7;33,94003;11,72593;5;;
8;38,72741;10,89236;6;;
9;19,86979;5,959419;1;;
10;28,76537;8,830979;4;;
1;54,39503;15,83433;5; [1, 6, 8];2
2;70,72531;14,31903;2;;
3;36,95079;7,789012;0;;
4;55,92064;12,69697;3;;
5;64,48348;13,92665;2;;
6;32,4085;8,560777;3;;
7;59,75361;16,66484;2;;
8;27,633;8,021358;2;;
9;26,86491;7,344768;1;;
10;29,12077;7,891108;1;;
1;45,70637;15,75374;4; [1, 6, 8]; 
2;13,32802;4,611344;0;;
3;13,1161;4,23516;0;;
4;12,18397;4,96583;0;;
5;10,47298;3,903537;0;;
1;17,93444;4,724787;0; [1, 6, 8]; ensayo
2;10,74072;3,435983;0;;
3;14,53701;5,74072;0;;
4;13,02788;5,911806;0;;
5;10,66198;3,525089;0;;
1;34,77399;8,40292;3; [1, 6, 8];3
2;20,22579;6,435251;3;;
3;23,7139;6,342741;1;;
4;23,49719;6,409664;3;;
5;30,66991;9,278636;3;;
6;27,25951;8,251422;2;;
7;23,62695;6,134465;1;;
8;29,39988;8,47238;2;;
9;21,0223;6,799411;1;;
10;20,82777;5,957139;0;;
1;33,11309;10,45212;5; [1, 6, 8];4
2;33,6076;10,53005;5;;
3;28,099;8,578634;6;;
4;26,03332;6,979177;2;;
5;18,24762;4,705871;1;;
6;24,41182;7,856579;5;;
7;25,82212;8,171755;5;;
8;21,77964;6,006851;1;;
9;19,36953;5,512127;1;;
10;16,18175;4,790837;3;;
1;31,41783;9,058445;6; [1, 6, 8];5
2;17,90331;4,013178;1;;
3;16,58192;4,614592;0;;
4;20,28021;6,626266;1;;
5;24,66706;6,298982;3;;
6;12,23902;4,061483;0;;
7;13,88404;5,161116;2;;
8;12,98295;4,763589;2;;
9;11,46109;4,87219;1;;
10;10,17347;4,196336;0;;
1; 45,38764; 16,32229; 5; [1, 6, 8]; 6
2; 30,45336; 10,85443; 5
3; 25,50027; 8,215046; 2
4; 40,49374; 15,16565; 6
5; 29,97651; 8,878007; 4
6; 35,62864; 12,95334; 6
7; 27,52153; 9,308616; 5
8; 28,90905; 9,839355; 6
9; 32,75353; 6,387556; 1
10; 22,16842; 5,655416; 0
1; 37,76993; 11,94195; 6; [1, 6, 8]; 7
2; 24,73388; 8,35416; 5
3; 26,09961; 5,86065; 4
4; 22,29085; 6,674707; 4
5; 20,89076; 6,871872; 6
6; 18,63635; 5,923499; 4
7; 22,82368; 5,669381; 5
8; 21,53519; 5,165347; 4
9; 14,84905; 4,286775; 1
10; 18,45877; 5,069504; 4
1; 39,30303; 9,689101; 4; [1, 6, 8]; 8
2; 20,72452; 7,923082; 2
3; 23,20169; 9,897158; 2
4; 22,12359; 7,355929; 2
5; 24,05596; 7,718996; 4
6; 22,7125; 6,817634; 5
7; 19,45979; 7,812701; 3
8; 24,88811; 9,298515; 4
9; 25,34235; 8,163505; 4
10; 27,05768; 9,44869; 3
1; 24,92932; 7,886547; 5; [1, 6, 8]; 9
2; 26,1777; 7,189371; 1
3; 24,33459; 5,87602; 1
4; 38,01639; 11,92636; 5
5; 32,04195; 10,09933; 5
6; 20,99086; 6,797861; 2
7; 24,50082; 6,929744; 0
8; 27,844; 8,71429; 2
9; 29,84257; 10,80761; 5
10; 26,57732; 7,280996; 4
1; 36,11854; 8,827579; 3; [1, 6, 8]; 10
2; 34,49714; 9,2776; 4
3; 39,19368; 11,26056; 4
4; 60,4183; 17,09513; 5
5; 39,58241; 9,566669; 1
6; 21,11317; 7,017913; 1
7; 17,65903; 5,529875; 0
8; 15,95024; 4,893052; 0
9; 15,43641; 4,803578; 0
10; 18,2477; 6,281763; 0
1; 55,03275; 13,20802; 5; [1, 6, 8]; 10
2; 22,67908; 8,806175; 5
3; 24,91167; 7,807517; 4
4; 19,80247; 6,518217; 3
5; 22,56792; 7,340319; 2
6; 17,8038; 4,990889; 2
7; 15,51594; 7,300155; 1
8; 11,66086; 5,653512; 1
9; 16,11586; 7,079688; 2
10; 19,28013; 7,75986; 3
1; 65,55052; 15,49683; 5; [1, 6, 8]; 12
2; 58,88545; 14,90939; 2
3; 45,82425; 10,75519; 3
4; 68,30397; 19,05681; 5
5; 88,09556; 19,2558; 4
6; 32,9968; 9,797349; 2
7; 39,12765; 9,452842; 1
8; 58,38672; 15,9244; 6
9; 29,74244; 8,814088; 3
10; 70,68053; 21,80259; 6
1; 524,2606; 30,08332; 20; [4, 7, 15, 18, 21]; 
2; 20,75796; 12,0196; 5
